Species,GrowthForm,p0,tlp,rwc.tlp,epsil,Cft,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Organ,Note
hymenosporum flavum,Tree,-1.38,-2.06,NA,5.88,NA,0.607,NA,389,17.5,Scoffoni et al. 2008,Tropical rainforest,-118.446152,34.068858,Leaf,
bauhinia variegata,Tree,-1.54,-1.93,72,5.04,NA,0.653,13.12335958,1233,20.3,Shrestha et al. 2008,Tropical seasonal forest,85.641074,27.61922,Leaf,
cupressus torulosa,Tree,-0.53,-0.81,88.7,NA,NA,0.44,NA,1653,13.2,Singh et al. 2006,Tropical seasonal forest,79.45,29.38333333,Leaf,
rhododendron arboreum,Tree,-1.49,-1.74,91.8,NA,NA,0.491,NA,1653,13.2,Singh et al. 2006,Tropical seasonal forest,79.45,29.38333333,Leaf,
shorea robusta,Tree,-1.58,-2.04,85.5,NA,NA,0.73,10.23292992,1653,13.2,Singh et al. 2006,Tropical seasonal forest,79.45,29.38333333,Leaf,
capparis verrucosa,Tree,-2.97,-3.65,NA,14.4,NA,0.86,8.896797153,900,22.1,Sobrado 1986,Tropical seasonal forest,-67.05,10.25,Leaf,
morisonia americana,Tree,-3.28,-4.08,NA,13.9,NA,0.88,6.798096533,900,22.1,Sobrado 1986,Tropical seasonal forest,-67.05,10.25,Leaf,
coursetia ferruginea,Tree,-1.97,-2.46,NA,7.34,NA,0.85,26.9541779,900,22.1,Sobrado 1986; Sobrado 1993,Tropical seasonal forest,-67.05,10.25,Leaf,
lonchocarpus dipteroneurus,Tree,-1.84,-2.32,NA,9.54,NA,0.6,24.06639004,1097,22.1,Sobrado 1986; Sobrado 1993,Tropical seasonal forest,-67.05,10.25,Leaf,
mansoa verrucifera,Tree,-2.23,-2.51,NA,9.94,NA,NA,17.51313485,1097,22.1,Sobrado 1986; Sobrado 1993,Tropical seasonal forest,-67.05,10.25,Leaf,
morisonia americana,Tree,-3.28,-4.08,NA,13.9,NA,0.6,6.638217166,1097,22.1,Sobrado 1986; Sobrado 1993,Tropical seasonal forest,-67.05,10.25,Leaf,
catostemma sancarlosianum,Tree,-1.6,-1.89,95.44,NA,NA,0.67,NA,3500,26.2,Sobrado 2009,Tropical rainforest,-67.05,1.9,Leaf,
heteropterys sp.,Tree,-1.35,-1.97,78.16,NA,NA,0.61,NA,3500,26.2,Sobrado 2009,Tropical rainforest,-67.05,1.9,Leaf,
pachira sordida,Tree,-1.55,-1.98,92.2,NA,NA,0.63,NA,3500,26.2,Sobrado 2009,Tropical rainforest,-67.05,1.9,Leaf,
remijia morilloi,Tree,-1.41,-1.95,82.62,NA,NA,0.61,2.818382931,3500,26.2,Sobrado 2009,Tropical rainforest,-67.05,1.9,Leaf,
retiniphyllum concolor,Tree,-1.5,-1.87,86.88,NA,NA,0.55,6.165950019,3500,26.2,Sobrado 2009,Tropical rainforest,-67.05,1.9,Leaf,
caryocar glabrum,Tree,-1.09,-1.28,90,NA,NA,0.653571429,NA,3500,26.2,Sobrado 2012,Tropical rainforest,-67.05,1.9,Leaf,
eperua leucantha,Tree,-1.19,-1.36,88,NA,NA,NA,9.54992586,3500,26.2,Sobrado 2012,Tropical rainforest,-67.05,1.9,Leaf,
micranda sprucei,Tree,-0.75,-1.12,75,NA,NA,NA,NA,3500,26.2,Sobrado 2012,Tropical rainforest,-67.05,1.9,Leaf,
ocotea aciphylla,Tree,-1.29,-1.5,89,NA,NA,0.5105,NA,3500,26.2,Sobrado 2012,Tropical rainforest,-67.05,1.9,Leaf,
alseis blackiana,Tree,-1.14425766,-2.04,NA,NA,NA,0.535989568,35,2600,26.5,Tobin et al. 1999,Tropical rainforest,-79.85,9.15,Leaf,
hybanthus prunifolius,Tree,-1.218507321,-1.74,NA,NA,NA,0.67,30.8,2600,26.5,Tobin et al. 1999,Tropical rainforest,-79.85,9.15,Leaf,
licania platypus,Tree,-1.142937361,-1.41,NA,NA,NA,0.62,14.7,2600,26.5,Tobin et al. 1999,Tropical rainforest,-79.85,9.15,Leaf,
ouratea lucens,Tree,-1.622856426,-1.84,NA,NA,NA,0.726990909,12.3,2600,26.5,Tobin et al. 1999,Tropical rainforest,-79.85,9.15,Leaf,
psychotria horizontalis,Tree,-1.013010062,-1.86,NA,NA,NA,0.56362,23.1,2600,26.5,Tobin et al. 1999,Tropical rainforest,-79.85,9.15,Leaf,
swartzia simplex,Tree,-1.621530637,-1.88,NA,NA,NA,0.841537052,15.7,2600,26.5,Tobin et al. 1999,Tropical rainforest,-79.85,9.15,Leaf,
balfourodendron riedelianum,Tree,-1.86,-2.27,NA,NA,NA,0.666457143,18.83239171,2000,20.7,Villagra et al. 2013,Tropical rainforest,-54.33333333,-25.61666667,Leaf,
cedrela fissilis,Tree,-1,-1.28,NA,NA,NA,0.4666,31.25,2000,20.7,Villagra et al. 2013,Tropical rainforest,-54.33333333,-25.61666667,Leaf,
cordia americana,Tree,-1.36,-1.58,NA,NA,NA,0.688,17.57469244,2000,20.7,Villagra et al. 2013,Tropical rainforest,-54.33333333,-25.61666667,Leaf,
maclura tinctoria,Tree,-1.55,-1.85,NA,NA,NA,0.794526667,23.98081535,2000,20.7,Villagra et al. 2013,Tropical rainforest,-54.33333333,-25.61666667,Leaf,
peltophorum dubium,Tree,-1.1,-1.36,NA,NA,NA,0.74388,32.78688525,2000,20.7,Villagra et al. 2013,Tropical rainforest,-54.33333333,-25.61666667,Leaf,
bowdichia virgilioides,Tree,-2.09,-2.5,82.5,18.25,NA,0.91,5.952380952,1240.7,20.3,Wenhui 1998,Tropical seasonal forest,-43.75,-22.25,Leaf,
caryocar brasiliense,Tree,-1.71,-2.2,84.8,11.34,NA,0.65,8.474576271,1240.7,20.3,Wenhui 1998,Tropical seasonal forest,-43.75,-22.25,Leaf,
casearia sylvestris,Tree,-2.46,-2.73,90.7,26.27,NA,0.705,15.92356688,1240.7,20.3,Wenhui 1998,Tropical seasonal forest,-43.75,-22.25,Leaf,
connarus suberosus,Tree,-2.25,-2.63,91.7,18.01,NA,0.45,6.711409396,1240.7,20.3,Wenhui 1998,Tropical seasonal forest,-43.75,-22.25,Leaf,
piptocarpha rotundifolia,Tree,-1.4,-1.75,89.8,10.86,NA,0.65,6.25,1240.7,20.3,Wenhui 1998,Tropical seasonal forest,-43.75,-22.25,Leaf,
bursera simarouba,Tree,-0.98,-1.27,70.9,6.49,0.11,0.36,12.76,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
casearia corymbosa,Tree,-1.37,-2.33,62.51,5.65,0.13,0.61,12.66,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
casearia sylvestris,Tree,-2.17,-2.68,67.31,7.88,0.11,0.64,21.41,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
cissus fuliginea,Liana,-0.78,-1.22,79.96,4.67,0.18,0.2,14.83,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
cochlospermum vitifolium,Tree,-1.21,-1.77,65.29,4.99,0.18,0.18,17.6,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
combretum farinosum,Liana,-1.61,-2.38,61.16,5.87,0.28,0.57,18.34,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
crescentia alata,Tree,-2.99,-3.86,59.92,8.07,0.1,0.55,8.33,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
cupania guatemalensis,Tree,-2.09,-2.28,54.85,8.54,0.11,0.6,15.45,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
cydista diversifolia,Liana,-1.94,-2.13,66.38,13.83,0.11,0.55,30.4,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
enterolobium cyclocarpum,Tree,-2.09,-2.59,60.9,8.72,0.1,0.38,7,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
gouania polygama,Liana,-1,-1.31,73.15,2.89,0.28,0.5,39.47,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
guazuma ulmifolia,Tree,-1.61,-2.04,61.18,6.62,0.12,0.74,13.34,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
hymenea courbaril,Tree,-1.47,-1.68,57.01,13.52,0.07,0.84,11.68,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
maclura tinctoria,Tree,-2.01,-2.59,69.65,21.3,0.05,0.78,18.12,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
mansoa hymenaea,Liana,-1.64,-1.75,64.63,17.71,0.14,0.39,21.26,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
mimosa tenuiflora,Liana,-1.45,-3.17,53.73,4.2,0.27,0.5,NA,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
myrospermum frutescens,Tree,-2.03,-2.4,72.1,5.68,0.21,0.68,27.69,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
piscidia carthagenensis,Tree,-1.88,-2.4,69.21,5.02,0.18,0.64,14.15,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
semialarium mexicanum,Tree,-1.31,-1.81,75.28,5.6,0.17,0.51,18.73,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
tabebuia rosea,Tree,-1.5,-1.88,57.49,7.27,0.12,0.53,9.13,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
tetracera volubilis,Liana,-1.48,-2.29,NA,3.4,0.19,0.56,22.28,1955,25,Werden et al 2018,Tropical seasonal forest,-85.594,10.718,Leaf,
baccaurea ramiflora,Tree,-0.74,-1,NA,NA,NA,0.56,NA,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Wet season
baccaurea ramiflora,Tree,-1.4,-1.56,NA,NA,NA,0.56,NA,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Dry season
bauhinia variegate,Tree,-1.03,-1.15,NA,NA,NA,0.51,NA,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Wet season
bauhinia variegate,Tree,-1.52,-1.7,NA,NA,NA,0.51,NA,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Dry season
quisqualis indica,Liana,-0.92,-1.37,NA,NA,NA,0.5,24.54708916,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Wet season
quisqualis indica,Liana,-1.32,-1.43,NA,NA,NA,0.5,24.54708916,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Dry season
syzygium szemaoense,Tree,-1,-1.28,NA,NA,NA,0.52,NA,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Wet season
syzygium szemaoense,Tree,-1.56,-1.77,NA,NA,NA,0.52,NA,1379,21.4,Zhu & Cao 2009,Tropical rainforest,101.7666667,21.9,Leaf,Dry season
millettia pachycarpa,Liana,-1.12,-1.55,NA,NA,NA,0.49,9.85,1379,21.4,Zhu & Cao 2009 + Cai & Bongers 2007,Tropical rainforest,101.7666667,21.9,Leaf,Wet season
millettia pachycarpa,Liana,-1.34,-1.49,NA,NA,NA,0.49,9.85,1379,21.4,Zhu & Cao 2009 + Cai & Bongers 2007,Tropical rainforest,101.7666667,21.9,Leaf,Dry season
combretum latifolium,Liana,-0.72,-1.16,NA,NA,NA,0.46,7.43,1379,21.4,Zhu & Cao 2009 + Cai et al. 2009,Tropical rainforest,101.7666667,21.9,Leaf,Wet season
combretum latifolium,Liana,-1.16,-1.42,NA,NA,NA,0.46,7.43,1379,21.4,Zhu & Cao 2009 + Cai et al. 2009,Tropical rainforest,101.7666667,21.9,Leaf,Dry season
albizia guachapele,Tree,-1.966987411,-2.1576697,96.14662584,22.25748995,11.90984038,0.513,NA,960,12.7,Borchert & Pockman 2005,Tropical seasonal forest,-95.255601,38.954074,Xylem,
calycophyllum candidissimum,Tree,-2.61794355,-2.904004036,96.98699542,26.57661235,5.679491184,0.697,NA,960,12.7,Borchert & Pockman 2005,Tropical seasonal forest,-95.255601,38.954074,Xylem,
simarouba glauca,Tree,-1.831068484,-2.080381587,95.74155883,15.27926575,14.29496799,0.464535059,NA,960,12.7,Borchert & Pockman 2005,Tropical seasonal forest,-95.255601,38.954074,Xylem,
spondias purpurea,Tree,-1.433891008,-1.523878946,97.86366791,24.28188014,11.0149605,0.33,NA,960,12.7,Borchert & Pockman 2005,Tropical seasonal forest,-95.255601,38.954074,Xylem,
balfourodendron riedelianum,Tree,-1.504195159,-1.765703888,95.72578447,10.15831512,13.84766082,0.659035123,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
cabralea canjerana,Tree,-0.901121087,-1.037239621,91.33636076,6.880209635,54.88725821,0.528022175,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
cedrela fissilis,Tree,-0.528824146,-0.609459516,90.76039196,4.144372386,103.2156417,0.491526273,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
ceiba speciosa,Tree,-0.506830785,-0.560636897,81.63271772,5.281215887,262.0336416,0.30827275,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
chrysophyllum gonocarpum,Tree,-1.155500354,-1.344317635,95.14157865,8.271638832,22.17600802,0.59504569,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
cordia trichotoma,Tree,-1.983728804,-2.345513715,93.18416055,12.86422478,19.47222572,0.508058826,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
holocalyx balansae,Tree,-0.755833847,-0.836263697,95.71107,7.865642864,22.70262928,0.858303343,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
lonchocarpus muehlbergianus,Tree,-0.759075552,-0.834566828,97.50319997,8.391688743,16.36263418,0.697730064,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
ocotea diospyrifolia,Tree,-1.637154042,-1.935477671,90.27415516,10.62160281,32.61183584,0.540559839,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
parapiptadenia rigida,Tree,-0.667078856,-0.738389516,97.48805384,6.912400802,17.29205215,0.757215075,NA,2000,21,Carrasco et al. 2014,Subtropical Forest,-54.13333333,-25.51666667,Xylem,
anacardium excelsum,Tree,-0.38,-0.96,57.94,0.6,388.42,0.35,8.47,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
annona spraguei,Tree,-0.24,-1.43,22.7,1.57,618.94,0.27,15.3,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
antirrhea trichantha,Tree,-0.92,-2.66,44,1.21,213.93,0.37,15.7,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
arrabidaea pattellifera,Liana,-0.22,-1.29,33.76,0.64,589.57,0.41,14.8,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
astronium graveolens,Tree,-0.88,-2.82,54.62,1.56,171.4,0.41,14.1,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
combretum fruticosum,Liana,-0.82,-2.04,47.47,1.2,215.96,0.54,15.9,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
cordia alliodora,Tree,-0.74,-1.78,39.13,0.92,347.64,0.37,NA,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
doliocarpus dentatus,Liana,-1.2,-1.96,61.97,2.67,133.72,0.4,13.7,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
hiraea reclinata,Liana,-0.31,-1.13,38.83,0.68,503.96,0.65,10.5,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
luehea seemannii,Tree,-0.66,-2.3,49,0.89,195.07,0.27,16.1,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
mikania leiostacya,Liana,-0.49,-1.63,35.03,1,459.13,0.22,21.2,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
serjania mexicana,Liana,-1.04,-2.24,50.28,1.58,209.33,0.33,12.9,1865,27,De Guzman et al. 2016 + unpublished data,Tropical rainforest,-79.55,8.98333333,Xylem,
blepharocalyx salicifolius,Tree,NA,NA,NA,NA,47,0.55,NA,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
byrsonima crassa,Tree,NA,NA,NA,NA,60,0.52,NA,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
kielmeyera coriacea,Tree,NA,NA,NA,NA,66,0.66,4.897788194,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
qualea parviflora,Tree,NA,NA,NA,NA,171,0.28,NA,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
ochroma pyramidale,Tree,-0.693734937,-0.882677991,74.68506734,3.240894792,251.4128818,0.19,NA,2600,26.27266667,Machado & Tyree 1994,Tropical rainforest,-79.846036,9.166666667,Xylem,
ochroma pyramidale,Tree,NA,NA,NA,NA,95,0.19,NA,2600,26.27266667,Machado & Tyree 1994,Tropical rainforest,-79.846036,9.166666667,Xylem,
pseudobombax septenatum,Tree,-0.984171669,-1.137595182,84.82825673,7.297375299,111.7163481,0.25,7.762471166,2600,26.27266667,Machado & Tyree 1994,Tropical rainforest,-79.846036,9.166666667,Xylem,
pseudobombax septenatum,Tree,NA,NA,NA,NA,60,0.25,7.762471166,2600,26.27266667,Machado & Tyree 1994,Tropical rainforest,-79.846036,9.166666667,Xylem,
anacardium excelsum,Tree,NA,NA,NA,NA,300,0.39,10.83926914,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Xylem,
cordia alliodora,Tree,NA,NA,NA,NA,80,0.52,NA,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Xylem,
ficus insipida,Tree,NA,NA,NA,NA,230,0.29,NA,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Xylem,
schefflera morototoni,Tree,NA,NA,NA,NA,415,0.28,NA,1800,26.88333333,Meinzer et al. 2003,Tropical seasonal forest,-79.85,9.166666667,Xylem,
anacardium excelsum,Tree,-1.16986601,-1.325050278,74.63034645,9.988971869,142.9625863,0.390097712,10.83926914,1800,27,Meinzer et al. 2008,Tropical rainforest,-79.54694444,8.98561944,Xylem,
cordia alliodora,Tree,-2.50714251,-2.94416607,77.13381857,16.8902654,51.42868505,0.520247451,NA,1800,27,Meinzer et al. 2008,Tropical rainforest,-79.54694444,8.98561944,Xylem,
ficus insipida,Tree,-1.402026237,-1.625012782,81.94395952,10.21725572,82.24273705,0.400137312,NA,1800,27,Meinzer et al. 2008,Tropical rainforest,-79.54694444,8.98561944,Xylem,
ficus insipida,Tree,NA,NA,NA,NA,262,0.376555556,NA,1800,26.88333333,Meinzer et al. 2008,Tropical seasonal forest,-79.85,9.166666667,Xylem,
manilkara bidentata,Tree,-2.207955626,-2.565804274,85.91474015,15.83122366,31.18344299,0.665210733,NA,3100,26.6,Meinzer et al. 2008,Tropical rainforest,-80.001385,9.322863,Xylem,
manilkara bidentata,Tree,NA,NA,NA,NA,153,0.872933333,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Xylem,
protium panamense,Tree,NA,NA,NA,NA,282,0.452333333,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Xylem,
schefflera morototoni,Tree,-0.761620645,-0.86,78.89237559,6.657837465,200.8621236,0.279688601,NA,1800,27,Meinzer et al. 2008,Tropical rainforest,-79.54694444,8.98561944,Xylem,
tachigali versicolor,Tree,NA,NA,NA,NA,302,0.521,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Xylem,
tapirira guianensis,Tree,-1.45454334,-1.645464771,86.45557031,12.53604591,54.50311922,0.520305811,NA,3100,26.6,Meinzer et al. 2008,Tropical rainforest,-80.001385,9.322863,Xylem,
tapirira guianensis,Tree,NA,NA,NA,NA,337,0.457,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Xylem,
trattinnickia aspera,Tree,-0.829903592,-0.929645158,86.10562401,7.735148802,97.03223746,0.540195858,NA,3100,26.6,Meinzer et al. 2008,Tropical rainforest,-80.001385,9.322863,Xylem,
trattinnickia aspera,Tree,NA,NA,NA,NA,411,0.424,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Xylem,
vochysia ferruginea,Tree,NA,NA,NA,NA,407,0.410166667,NA,3100,26.08433333,Meinzer et al. 2008,Tropical rainforest,-79.975,9.283333333,Xylem,
blepharocalyx salicifolius,Tree,-1.354626429,-1.563656816,83.41369301,10.13331546,67.53855274,0.559462486,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
blepharocalyx salicifolius,Tree,NA,NA,NA,NA,73,0.56,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
byrsonima crassa,Tree,NA,NA,NA,NA,83,0.53,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
caryocar brasiliense,Tree,-1.258752459,-1.318232948,84.23068328,27.89702979,73.82226809,0.589641657,8.511380382,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
caryocar brasiliense,Tree,NA,NA,NA,NA,40,0.59,8.511380382,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
kielmeyera coriacea,Tree,NA,NA,NA,NA,107,0.5,4.897788194,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
qualea parviflora,Tree,-1.29544382,-1.492074854,78.82204419,9.830081777,89.43341979,0.569652856,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
qualea parviflora,Tree,NA,NA,NA,NA,67,0.569,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
schefflera macrocarpa,Tree,-1.337104196,-1.563656816,86.62128267,9.228637885,55.58797211,0.539473684,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
schefflera macrocarpa,Tree,NA,NA,NA,NA,85,0.54,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
sclerolobium paniculatum,Tree,NA,NA,NA,NA,38,0.62,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
vochysia thyrsoidea,Tree,NA,NA,NA,NA,157,0.42,NA,1500,21,Scholz et al. 2007,Tropical seasonal forest,-47.88333333,-15.93333333,Xylem,
schefflera morototoni,Tree,-0.769733378,-0.861749918,84.97319832,7.208678714,122.7421893,0.456,NA,2549,26.5,Tyree et al. 1991,Tropical rainforest,-79.86666667,9.13333333,Xylem,
